dataset,method,orig_mb,comp_mb,ratio,comp_speed_mb_s,decomp_speed_mb_s
uint8_high_entropy,Direct_API,4.0,4.00030517578125,0.9999237118750095,153.65178319886704,28.88013664584366
uint8_high_entropy,Codecs_API,4.0,4.000308990478516,0.9999227583471049,259.06413475539216,30.897093221059947
uint8_low_entropy,Direct_API,4.0,4.00030517578125,0.9999237118750095,248.38585101298392,124.29803585179134
uint8_low_entropy,Codecs_API,4.0,4.000308990478516,0.9999227583471049,258.09376777224986,133.03548117371764
uint8_medium_entropy,Direct_API,4.0,3.9711828231811523,1.0072565726892835,237.77944396279207,34.168338678610866
uint8_medium_entropy,Codecs_API,4.0,3.971186637878418,1.007255605124864,209.51232700406163,33.03223189753959
